county,total_liquor_sales,median_household_income,population
Polk,61059636,35121,459159
Linn,23211745,34878,218076
Scott,19303451,32582,171116
Johnson,16251212,28190,142006
"Black Hawk",15289449,27979,132821
Pottawattamie,9366065,31657,93198
Woodbury,9147132,27239,102426
Story,8105026,18959,94834
Dubuque,8095940,30044,96359
"Cerro Gordo",5482244,28930,43303
Dickinson,3764208,31194,17046
Webster,3416914,25615,37050
"Des Moines",3411903,26580,40114
Clinton,3279409,30652,47972
Lee,3276570,27804,35172
Muscatine,2867649,31151,42949
Marshall,2850819,30035,40735
Wapello,2414266,27318,35242
Carroll,2226799,31332,20555
Dallas,2183590,43120,78074
Warren,2072032,36543,48170
Marion,1869599,30916,33197
Bremer,1744670,31932,24663
Jasper,1729328,30841,36715
"Buena Vista",1689710,26127,20445
Kossuth,1538518,30793,15226
Plymouth,1520478,34581,24972
Clay,1456962,30109,16478
Washington,1427991,31092,22115
Sioux,1418384,28100,34621
Boone,1372573,31885,26411
Poweshiek,1311599,24258,18622
Winneshiek,1303940,26460,20789
Hardin,1265672,30218,17324
Crawford,1220706,28789,17147
Mahaska,1199822,30435,22324
Page,1145396,29172,15552
Jackson,1143777,30949,19529
Fayette,1119298,26288,20391
Cass,1092749,27884,13433
Floyd,1090852,27429,16004
Jones,1085257,31388,20481
Henry,1029259,29894,19941
Buchanan,1006200,32409,21031
Union,919088,27422,12539
Delaware,886051,31331,17445
Jefferson,806978,25128,17662
Hamilton,806193,32408,15227
Allamakee,798742,28718,14001
Appanoose,765877,27485,12602
Howard,747407,29845,9430
Shelby,741809,28962,11944
"Palo Alto",734665,29352,9155
Cherokee,712192,30507,11752
Benton,696284,34563,25720
Winnebago,688511,28874,10580
Wright,684151,30756,12891
Lyon,673442,32119,11730
Madison,650829,36293,15661
Humboldt,624225,30527,9607
Tama,622690,31113,17423
Emmet,609251,26767,9820
Iowa,595007,31660,16326
Montgomery,589926,26750,10380
Clayton,576582,29261,17735
Clarke,566066,30181,9273
Sac,528490,30292,10034
Monona,515734,26740,9013
Franklin,485078,30289,10393
Cedar,481756,34919,18389
Ida,475534,29776,7041
Harrison,454700,32019,14335
Guthrie,450151,31155,10691
Mills,441150,35694,14841
Mitchell,408060,30757,10757
Greene,400358,26795,9083
Lucas,369919,29072,8700
Chickasaw,360961,31574,12164
Calhoun,334029,26420,9876
Pocahontas,329097,30786,7061
Grundy,295815,36396,12373
Monroe,295811,31789,7964
Hancock,279327,31848,11006
Butler,260473,31209,14933
Osceola,233323,26997,6154
Adair,232772,31506,7330
Louisa,226006,30488,11251
Worth,218453,28517,7562
"Van Buren",183392,29712,7380
Adams,179649,29880,3822
Decatur,165379,20577,8210
Audubon,160752,27310,5793
Ringgold,139272,27585,5054
Keokuk,138369,30379,10234
Taylor,104845,30590,6209
Wayne,104422,26887,6403
Davis,93510,28739,8768
Fremont,25053,32643,7019
